iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ISL,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:35.92422,
ATF,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,ch4,0,tonnes,annual,2023-10-03 21:10:35.868728,
ATF,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,n2o,0,tonnes,annual,2023-10-03 21:10:35.868735,
ATF,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:35.868743,
ATF,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:35.868751,
ATG,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2,0,tonnes,annual,2023-10-03 21:10:35.869241,
ATG,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,ch4,0,tonnes,annual,2023-10-03 21:10:35.869251,
ATG,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,n2o,0,tonnes,annual,2023-10-03 21:10:35.869258,
ATG,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:35.869267,
ATG,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:35.869275,
AUS,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2,0,tonnes,annual,2023-10-03 21:10:35.869773,
AUS,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,ch4,2562919.733704554,tonnes,annual,2023-10-03 21:10:35.869785,
AUS,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,n2o,0,tonnes,annual,2023-10-03 21:10:35.869792,
AUS,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2e_100yr,71761752.5437275,tonnes,annual,2023-10-03 21:10:35.8698,
AUS,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2e_20yr,215285257.63118252,tonnes,annual,2023-10-03 21:10:35.869809,
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2,0,tonnes,annual,2023-10-03 21:10:35.870287,
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,ch4,0,tonnes,annual,2023-10-03 21:10:35.870296,
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,n2o,0,tonnes,annual,2023-10-03 21:10:35.870304,
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:35.870312,
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:35.87032,
AZE,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2,0,tonnes,annual,2023-10-03 21:10:35.870811,
AZE,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,ch4,0,tonnes,annual,2023-10-03 21:10:35.87082,
AZE,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,n2o,0,tonnes,annual,2023-10-03 21:10:35.870827,
AZE,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:35.870836,
AZE,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:35.870843,
BDI,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2,0,tonnes,annual,2023-10-03 21:10:35.87136,
BDI,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,ch4,0,tonnes,annual,2023-10-03 21:10:35.87137,
BDI,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,n2o,0,tonnes,annual,2023-10-03 21:10:35.871377,
BDI,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:35.871385,
BDI,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:35.871392,
BEL,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2,0,tonnes,annual,2023-10-03 21:10:35.871889,
BEL,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,ch4,0,tonnes,annual,2023-10-03 21:10:35.871898,
BEL,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,n2o,0,tonnes,annual,2023-10-03 21:10:35.871905,
BEL,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:35.871914,
BEL,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:35.871921,
BEN,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,co2,0,tonnes,annual,2023-10-03 21:10:35.872414,
BEN,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,ch4,0,tonnes,annual,2023-10-03 21:10:35.872423,
BEN,2015-01-01 00:00:00,2015-12-31 00:00:00,coal-mining,n2o,0,tonnes,annual,2023-10-03 21:10:35.87243,
