iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
CIV,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-production-and-transport,co2,582585.6055643607,tonnes,annual,2023-10-10 22:40:44.38743,2023-11-02 20:46:26.358978
CIV,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,25893.52324519092,tonnes,annual,2023-10-10 22:40:44.387451,2023-11-02 20:46:26.358978
CIV,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,2718801.273292612,tonnes,annual,2023-10-10 22:40:44.387482,2023-11-02 20:46:26.358978
CMR,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-production-and-transport,co2,3466963.9372550133,tonnes,annual,2023-10-10 22:40:44.387986,2023-11-02 20:46:26.358978
CMR,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,112326.31247040557,tonnes,annual,2023-10-10 22:40:44.387996,2023-11-02 20:46:26.358978
CMR,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,12733884.716063472,tonnes,annual,2023-10-10 22:40:44.388024,2023-11-02 20:46:26.358978
GBR,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-production-and-transport,co2,22682370.171366267,tonnes,annual,2023-10-10 22:40:44.396225,2023-11-02 20:46:26.358978
GBR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,20436065.105184942,tonnes,annual,2023-10-10 22:40:44.499528,2023-11-02 20:46:28.467769
GBR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,424708.8393342693,tonnes,annual,2023-10-10 22:40:44.499539,2023-11-02 20:46:28.467769
GBR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,55474544.35026216,tonnes,annual,2023-10-10 22:40:44.499567,2023-11-02 20:46:28.467769
RUS,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,808158390.4975426,tonnes,annual,2023-10-10 22:40:44.522232,2023-11-02 20:46:28.524261
RUS,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,16319840.520282336,tonnes,annual,2023-10-10 22:40:44.522242,2023-11-02 20:46:28.524261
RUS,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,2154545233.4208355,tonnes,annual,2023-10-10 22:40:44.52227,2023-11-02 20:46:28.524261
