iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2,,tonnes,annual,2023-10-03 21:12:43.254735,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,ch4,,tonnes,annual,2023-10-03 21:12:43.25475,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,n2o,,tonnes,annual,2023-10-03 21:12:43.254759,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,,tonnes,annual,2023-10-03 21:12:43.254769,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,,tonnes,annual,2023-10-03 21:12:43.254778,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2,36425.23742,tonnes,annual,2023-10-03 21:12:43.255394,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,ch4,5.471610109,tonnes,annual,2023-10-03 21:12:43.255404,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,n2o,0.544327335,tonnes,annual,2023-10-03 21:12:43.255412,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,37464.23574,tonnes,annual,2023-10-03 21:12:43.25542,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,37464.3995,tonnes,annual,2023-10-03 21:12:43.255428,
AGO,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2,422139.5618,tonnes,annual,2023-10-03 21:12:43.25602,
AGO,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,ch4,19.3487624,tonnes,annual,2023-10-03 21:12:43.256031,
AGO,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,n2o,3.819714388,tonnes,annual,2023-10-03 21:12:43.256038,
AGO,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,426451.1613,tonnes,annual,2023-10-03 21:12:43.256046,
AGO,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,426454.7357,tonnes,annual,2023-10-03 21:12:43.256054,
AIA,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2,,tonnes,annual,2023-10-03 21:12:43.256613,
