iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2023-10-06 14:56:33.428328,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
AIA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2023-10-06 14:56:33.428328,
AIA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
AIA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
AIA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
AIA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
ALA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2023-10-06 14:56:33.428328,
ALA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
ALA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
ALA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
ALA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
AND,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2023-10-06 14:56:33.428328,
AND,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
AND,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
AND,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
AND,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
ASM,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2023-10-06 14:56:33.428328,
ASM,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
ASM,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
ASM,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
ASM,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
ATA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2023-10-06 14:56:33.428328,
ATA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
ATA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
ATA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
ATA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
ATF,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2023-10-06 14:56:33.428328,
ATF,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
ATF,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
ATF,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
ATF,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
ATG,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2023-10-06 14:56:33.428328,
ATG,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
ATG,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
ATG,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
ATG,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
BDI,2022-01-01 00:00:00,2022-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2023-10-06 14:56:33.428328,
